"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"07","Weinsheim",9.28,1851,904,947,199,"55595",7.766963,49.837474,"07133112",2012,33,1,0.0178282009724473
"07","Winterbach",14.51,483,248,235,33,"55595",7.634872,49.876258,"07133115",2012,8,0,0.0165631469979296
"07","Rüdesheim",3.47,2546,1222,1324,734,"55593",7.812663,49.845325,"07133117",2012,72,7,0.02827965435978
"07","Auen",2.71,183,93,90,68,"55569",7.597484,49.831245,"07133005",2012,7,0,0.0382513661202186
"07","Bärweiler",6.11,243,125,118,40,"55606",7.60239,49.74299,"07133009",2012,7,1,0.0288065843621399
"07","Daubach",2.91,226,115,111,78,"55566",7.634404,49.846349,"07133022",2012,6,0,0.0265486725663717
"07","Ippenschied",2.62,145,71,74,55,"55566",7.631422,49.867176,"07133050",2012,1,0,0.00689655172413793
"07","Kirschroth",7.64,258,131,127,34,"55566",7.57209,49.761939,"07133053",2012,5,1,0.0193798449612403
"07","Langenthal",2.71,97,49,48,36,"55569",7.575164,49.831573,"07133055",2012,2,0,0.0206185567010309
"07","Lauschied",4.78,555,257,298,116,"55568",7.619608,49.740586,"07133057",2012,11,2,0.0198198198198198
"07","Martinstein",0.39,304,157,147,779,"55627",7.540679,49.804838,"07133062",2012,11,3,0.0361842105263158
"07","Meddersheim",13.14,1323,661,662,101,"55566",7.615398,49.776869,"07133064",2012,23,0,0.017384731670446
"07","Merxheim",17.05,1479,728,751,87,"55627",7.56188,49.794494,"07133066",2012,37,3,0.0250169033130494
"07","Monzingen",12.18,1642,825,817,135,"55569",7.592787,49.799018,"07133067",2012,62,3,0.0377588306942753
"07","Nußbaum",5.92,456,219,237,77,"55569",7.61402,49.800063,"07133072",2012,14,1,0.0307017543859649
"07","Odernheim am Glan",13.26,1690,830,860,127,"55571",7.705567,49.765576,"07133076",2012,47,4,0.027810650887574
"07","Rehbach",2.21,48,25,23,22,"55566",7.643766,49.849993,"07133082",2012,NA,NA,NA
"07","Seesbach",6.06,536,262,274,88,"55629",7.546029,49.845703,"07133094",2012,14,0,0.0261194029850746
"07","Staudernheim",11.48,1393,667,726,121,"55568",7.688147,49.775562,"07133102",2012,41,1,0.0294328786791098
"07","Weiler bei Monzingen",5.87,475,230,245,81,"55627",7.560495,49.809477,"07133111",2012,15,1,0.0315789473684211
"07","Winterburg",2.57,203,102,101,79,"55595",7.649431,49.863262,"07133116",2012,2,0,0.00985221674876847
"07","Bad Sobernheim, Stadt",54,6429,3116,3313,119,"55566",7.654163,49.783799,"07133501",2012,237,23,0.0368642090527298
"07","Daxweiler",16.65,800,379,421,48,"55442",7.752091,49.965906,"07133023",2012,11,0,0.01375
"07","Dörrebach",13.14,689,344,345,52,"55444",7.719348,49.945637,"07133025",2012,14,0,0.0203193033381713
"07","Eckenroth",1.08,226,103,123,209,"55444",7.781058,49.924943,"07133028",2012,4,0,0.0176991150442478
"07","Roth",0.82,269,133,136,328,"55442",7.800692,49.943587,"07133085",2012,7,0,0.0260223048327138
"07","Schöneberg",7.13,628,307,321,88,"55444",7.749604,49.920558,"07133091",2012,11,2,0.017515923566879
"07","Schweppenhausen",3.05,907,477,430,297,"55444",7.800449,49.925801,"07133093",2012,26,1,0.0286659316427784
