GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
08226;Rhein-Neckar-Kreis;536281;537625;525204;527287;531013;534729;541859;544400
08231;Pforzheim, kreisfreie Stadt;119788;119781;115211;116425;117754;119291;122247;123493
08235;Calw, Landkreis;158055;157271;150990;150709;151461;152766;155359;155960
08236;Enzkreis;194554;193913;191461;192092;192811;193728;196066;197246
08237;Freudenstadt, Landkreis;120637;119878;115220;115055;114793;115147;116233;116692
08311;Freiburg im Breisgau, kreisfreie Stadt;221924;224191;214234;218043;220286;222203;226393;227590
08315;Breisgau-Hochschwarzwald, Landkreis;250418;251266;246437;247711;250137;252749;257343;260416
08316;Emmendingen, Landkreis;157791;158342;156723;157399;158177;159708;162082;163251
08317;Ortenaukreis;417267;417513;410408;411700;412678;415639;420106;423359
08325;Rottweil, Landkreis;140307;139316;136049;135553;135319;135912;137500;138327
08326;Schwarzwald-Baar-Kreis;207259;206535;203978;204585;205090;206116;209648;210084
08327;Tuttlingen, Landkreis;134712;134189;132192;132476;133198;134607;136606;138119
08335;Konstanz, Landkreis;277555;278983;268263;270568;273407;275785;280288;282191
08336;Lörrach, Landkreis;222401;222650;219481;220606;221943;223692;226708;227545
08337;Waldshut, Landkreis;166384;166140;163141;163699;164265;165211;167861;168852
08415;Reutlingen, Landkreis;280927;280931;273646;274691;276019;278031;282113;284082
08416;Tübingen, Landkreis;220782;221304;212800;214894;216535;218355;221837;224635
08417;Zollernalbkreis;189337;188393;185129;184658;184615;186360;188595;187401
08421;Ulm, kreisfreie Stadt;122087;122801;117541;117977;119218;120714;122636;123953
08425;Alb-Donau-Kreis;189884;189670;186444;187123;187892;189129;192104;193318
08426;Biberach, Landkreis;189403;189312;187508;187747;188696;190438;194019;196206
08435;Bodenseekreis;207710;208367;204483;205843;207450;209386;212201;213070
08436;Ravensburg, Landkreis;276363;276965;270129;272425;273540;275339;279296;281627
08437;Sigmaringen, Landkreis;131059;130215;127409;127272;127101;127716;130772;130275
09161;Ingolstadt, kreisfreie Stadt;124387;125088;126076;127886;129136;131002;132438;133639
09162;München, kreisfreie Stadt;1330440;1353186;1364920;1388308;1407836;1429584;1450381;1464301
09163;Rosenheim, kreisfreie Stadt;60877;61299;59543;59935;60464;60889;61844;62672
09171;Altötting, Landkreis;107903;107711;106342;106515;106965;107465;108485;109422
09172;Berchtesgadener Land, Landkreis;102034;102389;101263;101875;102346;102976;103907;104480
09173;Bad Tölz-Wolfratshausen, Landkreis;121247;121801;119733;120664;122118;123340;124930;125668
09174;Dachau, Landkreis;137680;138547;139921;142021;144407;146279;149370;150839
09175;Ebersberg, Landkreis;127907;129199;128870;131011;133007;134873;137421;139016
09176;Eichstätt, Landkreis;124699;125015;123961;125039;125858;127189;128805;130808
09177;Erding, Landkreis;126370;127011;126676;128289;130238;131839;133747;135429
09178;Freising, Landkreis;165483;166375;164232;166286;169010;170357;173225;175803
09179;Fürstenfeldbruck, Landkreis;203129;204538;203029;205194;208272;210278;213481;216857
09180;Garmisch-Partenkirchen, Landkreis;86305;86336;84234;84710;85443;85931;87385;87877
09181;Landsberg am Lech, Landkreis;114134;114626;113539;114223;114926;116118;117657;118725
09182;Miesbach, Landkreis;95484;95641;93971;94759;96049;96773;98286;98828
09183;Mühldorf am Inn, Landkreis;110258;110282;106803;107363;109227;110296;112034;113222
09184;München, Landkreis;319573;323015;320855;325744;329981;332800;340003;343405
09185;Neuburg-Schrobenhausen, Landkreis;91258;91397;90973;91783;92700;93505;94654;95759
09186;Pfaffenhofen an der Ilm, Landkreis;116991;117371;116973;118349;119987;121594;124128;125085
09187;Rosenheim, Landkreis;248819;249772;245264;247133;249810;251850;256074;257466
09188;Starnberg, Landkreis;130010;130283;128111;129530;130811;131873;133621;134732
09189;Traunstein, Landkreis;170614;170521;168827;169464;170364;171978;174162;175431
09190;Weilheim-Schongau, Landkreis;130863;130922;129060;129568;130387;131190;132906;133859
09261;Landshut, kreisfreie Stadt;62735;63258;64277;65322;66179;67509;69211;70025
09262;Passau, kreisfreie Stadt;50627;50594;48623;49038;49454;49952;50566;51074
09263;Straubing, kreisfreie Stadt;44493;44450;44642;45099;45502;46027;46806;47142
09271;Deggendorf, Landkreis;116851;117005;114690;114733;115374;115699;116596;117601
09272;Freyung-Grafenau, Landkreis;79685;79293;78130;77817;77626;77927;78122;78180
09273;Kelheim, Landkreis;113071;113147;113191;113996;115232;116495;118965;119969
09274;Landshut, Landkreis;148350;148783;147758;148862;150316;151819;154577;155442
09275;Passau, Landkreis;187594;187347;184531;184905;185671;186284;188336;188904
09276;Regen, Landkreis;79327;78953;76525;76329;76257;76265;76812;77187
09277;Rottal-Inn, Landkreis;118157;117952;116849;117437;117654;118164;119218;119617
09278;Straubing-Bogen, Landkreis;97631;97591;96140;96667;97323;97967;98806;99221
09279;Dingolfing-Landau, Landkreis;90673;91011;90567;91267;92565;93450;94104;95035
09361;Amberg, kreisfreie Stadt;43715;43755;41790;41578;41592;41535;41861;42348
09362;Regensburg, kreisfreie Stadt;134218;135520;136352;138296;140276;142292;145465;148638
09363;Weiden in der Oberpfalz, kreisfreie Stadt;42058;41961;41734;41684;41726;41817;42055;42494
09371;Amberg-Sulzbach, Landkreis;105727;105180;103597;103352;103074;103045;103568;103009
09372;Cham, Landkreis;128498;128322;125504;125620;125553;125844;126359;126918
09373;Neumarkt in der Oberpfalz, Landkreis;128049;127769;126746;127145;127826;128975;130385;131662
09374;Neustadt an der Waldnaab, Landkreis;97791;97211;96094;95849;95447;95184;95078;94528
09375;Regensburg, Landkreis;183045;183796;183161;184344;185980;187205;189390;190481
09376;Schwandorf, Landkreis;142979;142804;142630;142947;143060;143614;144864;145382
09377;Tirschenreuth, Landkreis;75337;74802;74483;73923;73457;73250;73314;72918
09461;Bamberg, kreisfreie Stadt;69827;70004;70712;70863;71167;71952;73331;75743
09462;Bayreuth, kreisfreie Stadt;72576;72683;71214;71482;71572;71601;72148;73065
09463;Coburg, kreisfreie Stadt;41177;41076;40991;41022;40994;41062;41257;41071
09464;Hof, kreisfreie Stadt;46779;46286;44511;44461;44522;44325;44660;45183
09471;Bamberg, Landkreis;144442;144211;143746;143758;144425;144695;145570;146042
09472;Bayreuth, Landkreis;106488;106102;105227;104901;104637;104615;104306;103876
09473;Coburg, Landkreis;88943;88193;87404;87006;86719;86715;86599;86734
09474;Forchheim, Landkreis;113236;112985;112986;113331;113424;113900;114834;115259
09475;Hof, Landkreis;101252;100234;98787;97873;97096;96608;96429;95915
09476;Kronach, Landkreis;70941;70106;69599;69095;68484;67998;67916;67613
09477;Kulmbach, Landkreis;74967;74491;73710;73211;72898;72541;72468;71993
09478;Lichtenfels, Landkreis;68286;68087;67245;67109;66644;66540;66655;66640
09479;Wunsiedel im Fichtelgebirge, Landkreis;77486;76848;75441;74599;73783;73403;73185;73260
09561;Ansbach, kreisfreie Stadt;40420;40253;39600;39684;39839;40010;41159;41532
09562;Erlangen, kreisfreie Stadt;105554;105629;104312;105412;105624;106423;108336;110238
09563;Fürth, kreisfreie Stadt;114044;114628;116640;118358;119808;121519;124171;125403
09564;Nürnberg, kreisfreie Stadt;503673;505664;490085;495121;498876;501072;509975;511628
09565;Schwabach, kreisfreie Stadt;38751;38879;38610;39137;39546;39941;40428;40707
09571;Ansbach, Landkreis;180719;179925;178262;178289;178914;179419;181314;182178
09572;Erlangen-Höchstadt, Landkreis;131059;131448;130747;131227;132012;132830;134136;134640
09573;Fürth, Landkreis;114475;114810;113259;113959;114513;113847;114291;115971
09574;Nürnberger Land, Landkreis;166491;166260;164079;164564;165000;165918;167643;168893
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;98044;97558;97518;97409;97482;97808;98751;99332
09576;Roth, Landkreis;124329;124186;123120;123168;123431;123890;125140;125563
09577;Weißenburg-Gunzenhausen, Landkreis;92586;92326;92182;92187;92331;92518;93342;93974
09661;Aschaffenburg, kreisfreie Stadt;68722;68678;67470;67681;67844;68167;68986;69187
09662;Schweinfurt, kreisfreie Stadt;53533;53415;52118;52098;51851;51610;51969;52724
09663;Würzburg, kreisfreie Stadt;133195;133799;124449;124577;124698;124219;124873;126010
09671;Aschaffenburg, Landkreis;172990;172667;172351;172575;172791;172776;173695;173504
09672;Bad Kissingen, Landkreis;104932;104301;103653;103124;102865;102901;103106;103100
09673;Rhön-Grabfeld, Landkreis;83442;82916;80469;80224;79965;79676;79723;79855
09674;Haßberge, Landkreis;85379;85010;84440;84226;84090;84152;84581;84373
09675;Kitzingen, Landkreis;88692;88397;87731;87899;88097;88492;89306;89748
09676;Miltenberg, Landkreis;129047;128341;128122;127944;127909;127941;128446;128543
09677;Main-Spessart, Landkreis;128637;127761;127154;126496;126295;125915;126123;126301
09678;Schweinfurt, Landkreis;113425;113003;112991;112857;113007;113747;114813;114823
09679;Würzburg, Landkreis;159963;159788;158128;158026;158580;159253;160427;161041
09761;Augsburg, kreisfreie Stadt;263646;264708;269402;272699;276542;281111;286374;289584
09762;Kaufbeuren, kreisfreie Stadt;41881;41843;41460;41570;41759;42014;42731;43134
09763;Kempten (Allgäu), kreisfreie Stadt;62007;62060;64300;64625;65044;65624;66947;67529
