,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
03251033, Schwarme,60 ,1 ,6 ,18 ,13 ,3 ,0 ,0 ,1 ,1 ,36 ,0 ,4 ,13 ,11 ,1 ,0 ,0 ,1 ,1 ,24 ,1 ,2 ,5 ,2 ,2 ,0 ,0 ,0 ,0 
03251034," Siedenburg, Flecken",31 ,2 ,6 ,8 ,4 ,6 ,1 ,2 ,1 ,0 ,12 ,0 ,4 ,4 ,3 ,2 ,0 ,1 ,0 ,0 ,19 ,1 ,2 ,5 ,1 ,4 ,1 ,1 ,1 ,0 
03251035, Staffhorst,15 ,0 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
03251036, Stemshorn,19 ,1 ,3 ,4 ,3 ,5 ,0 ,1 ,0 ,0 ,9 ,0 ,2 ,3 ,2 ,1 ,0 ,1 ,0 ,0 ,10 ,0 ,1 ,1 ,1 ,4 ,0 ,0 ,0 ,0 
03251037, Stuhr,695 ,10 ,64 ,211 ,126 ,64 ,0 ,3 ,11 ,5 ,391 ,5 ,44 ,137 ,95 ,18 ,0 ,1 ,6 ,4 ,304 ,5 ,19 ,73 ,31 ,46 ,0 ,2 ,5 ,2 
03251038, Sudwalde,26 ,1 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
03251039, Süstedt,37 ,0 ,4 ,11 ,6 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,3 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
03251040," Sulingen, Stadt",454 ,10 ,51 ,122 ,66 ,71 ,1 ,6 ,12 ,6 ,125 ,3 ,22 ,45 ,31 ,9 ,0 ,1 ,1 ,1 ,329 ,8 ,29 ,77 ,36 ,62 ,1 ,4 ,11 ,5 
03251041," Syke, Stadt",653 ,18 ,87 ,179 ,98 ,85 ,2 ,8 ,14 ,6 ,285 ,6 ,44 ,88 ,56 ,17 ,0 ,1 ,3 ,2 ,367 ,11 ,43 ,91 ,42 ,68 ,2 ,7 ,12 ,5 
03251042," Twistringen, Stadt",323 ,5 ,39 ,87 ,40 ,23 ,0 ,2 ,8 ,4 ,114 ,1 ,20 ,37 ,21 ,4 ,0 ,1 ,0 ,0 ,210 ,4 ,19 ,49 ,19 ,19 ,0 ,1 ,7 ,4 
03251043, Varrel,34 ,1 ,4 ,11 ,7 ,1 ,0 ,0 ,0 ,0 ,17 ,1 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
03251044, Wagenfeld,155 ,3 ,21 ,46 ,32 ,10 ,0 ,1 ,0 ,0 ,83 ,2 ,14 ,31 ,23 ,3 ,0 ,0 ,0 ,0 ,71 ,1 ,7 ,15 ,9 ,7 ,0 ,1 ,0 ,0 
03251045, Wehrbleck,13 ,1 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,1 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
03251046, Wetschen,33 ,1 ,3 ,9 ,5 ,1 ,0 ,0 ,0 ,0 ,20 ,1 ,3 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
03251047, Weyhe,684 ,10 ,85 ,215 ,127 ,49 ,1 ,4 ,10 ,5 ,370 ,8 ,56 ,151 ,100 ,13 ,1 ,1 ,3 ,3 ,313 ,3 ,29 ,64 ,27 ,36 ,0 ,3 ,7 ,3 
03251048," Bruchhausen-Vilsen, Flecken",210 ,3 ,23 ,56 ,35 ,18 ,0 ,1 ,2 ,2 ,85 ,1 ,14 ,31 ,22 ,4 ,0 ,0 ,0 ,0 ,125 ,2 ,8 ,26 ,13 ,15 ,0 ,0 ,2 ,2 
03252, Hameln-Pyrmont,"6,772 ",113 ,658 ,"1,843 ","1,029 ","1,013 ",22 ,77 ,210 ,116 ,"2,193 ",25 ,284 ,805 ,535 ,172 ,2 ,16 ,52 ,34 ,"4,579 ",88 ,374 ,"1,039 ",494 ,840 ,20 ,61 ,158 ,82 
03252001," Aerzen, Flecken",389 ,8 ,43 ,113 ,67 ,21 ,0 ,1 ,4 ,4 ,158 ,2 ,24 ,56 ,34 ,7 ,0 ,0 ,1 ,1 ,231 ,6 ,19 ,57 ,33 ,14 ,0 ,1 ,4 ,3 
03252002," Bad Münder am Deister, Stadt",624 ,14 ,71 ,178 ,108 ,66 ,2 ,6 ,14 ,7 ,316 ,3 ,32 ,120 ,83 ,21 ,0 ,2 ,5 ,4 ,308 ,11 ,39 ,59 ,25 ,44 ,2 ,4 ,9 ,3 
03252003," Bad Pyrmont, Stadt",915 ,8 ,65 ,257 ,147 ,132 ,2 ,6 ,31 ,18 ,292 ,4 ,41 ,108 ,78 ,26 ,1 ,3 ,9 ,6 ,622 ,4 ,24 ,149 ,69 ,107 ,1 ,3 ,22 ,13 
03252004," Coppenbrügge, Flecken",205 ,3 ,18 ,57 ,29 ,15 ,0 ,1 ,4 ,3 ,96 ,1 ,13 ,30 ,17 ,4 ,0 ,0 ,1 ,1 ,109 ,2 ,5 ,27 ,12 ,11 ,0 ,1 ,3 ,2 
03252005, Emmerthal,355 ,8 ,38 ,101 ,48 ,33 ,0 ,1 ,3 ,0 ,139 ,4 ,23 ,48 ,30 ,6 ,0 ,0 ,0 ,0 ,216 ,3 ,14 ,54 ,18 ,26 ,0 ,1 ,3 ,0 
03252006," Hameln, Stadt","3,247 ",58 ,332 ,832 ,459 ,626 ,16 ,55 ,130 ,70 ,758 ,5 ,98 ,281 ,184 ,76 ,0 ,7 ,26 ,17 ,"2,488 ",52 ,234 ,552 ,275 ,550 ,16 ,48 ,104 ,53 
03252007," Hessisch Oldendorf, Stadt",690 ,9 ,59 ,198 ,112 ,107 ,1 ,6 ,21 ,12 ,279 ,3 ,35 ,99 ,70 ,26 ,0 ,3 ,9 ,4 ,411 ,6 ,23 ,98 ,42 ,82 ,1 ,3 ,12 ,8 
03252008," Salzhemmendorf, Flecken",347 ,6 ,33 ,106 ,59 ,13 ,0 ,0 ,2 ,2 ,155 ,2 ,19 ,63 ,40 ,6 ,0 ,0 ,2 ,2 ,192 ,4 ,15 ,43 ,19 ,6 ,0 ,0 ,0 ,0 
03254, Hildesheim,"12,331 ",240 ,"1,265 ","3,275 ","1,830 ","1,459 ",33 ,120 ,255 ,116 ,"3,925 ",62 ,535 ,"1,482 ","1,034 ",206 ,5 ,25 ,53 ,36 ,"8,406 ",178 ,730 ,"1,793 ",796 ,"1,252 ",29 ,96 ,202 ,80 
03254001, Adenstedt,29 ,1 ,5 ,7 ,3 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,3 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
03254002," Alfeld (Leine), Stadt",950 ,15 ,94 ,272 ,164 ,89 ,2 ,5 ,27 ,15 ,290 ,3 ,40 ,114 ,87 ,14 ,0 ,1 ,5 ,4 ,660 ,12 ,54 ,158 ,77 ,75 ,2 ,4 ,22 ,12 
03254003, Algermissen,191 ,2 ,21 ,53 ,32 ,13 ,0 ,1 ,1 ,0 ,92 ,2 ,12 ,33 ,23 ,3 ,0 ,1 ,0 ,0 ,99 ,0 ,8 ,20 ,9 ,10 ,0 ,0 ,0 ,0 
03254004, Almstedt,26 ,0 ,2 ,13 ,8 ,1 ,0 ,0 ,1 ,1 ,17 ,0 ,1 ,10 ,6 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,1 ,1 
03254005," Bad Salzdetfurth, Stadt",512 ,15 ,72 ,154 ,90 ,32 ,1 ,6 ,5 ,2 ,186 ,4 ,25 ,79 ,55 ,8 ,0 ,1 ,2 ,2 ,326 ,11 ,47 ,76 ,35 ,24 ,1 ,5 ,3 ,1 
03254006, Banteln,59 ,1 ,8 ,14 ,9 ,1 ,0 ,0 ,0 ,0 ,27 ,1 ,4 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,4 ,7 ,3 ,0 ,0 ,0 ,0 ,0 
03254007, Betheln,33 ,1 ,1 ,11 ,7 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,21 ,0 ,1 ,8 ,4 ,2 ,0 ,0 ,0 ,0 
03254008," Bockenem, Stadt",387 ,8 ,52 ,133 ,77 ,14 ,0 ,0 ,2 ,2 ,161 ,2 ,24 ,71 ,45 ,1 ,0 ,0 ,0 ,0 ,226 ,6 ,28 ,62 ,32 ,13 ,0 ,0 ,2 ,2 
03254009, Brüggen,27 ,1 ,3 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,3 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 
03254010, Despetal,43 ,1 ,3 ,18 ,14 ,0 ,0 ,0 ,0 ,0 ,28 ,1 ,3 ,12 ,10 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,6 ,4 ,0 ,0 ,0 ,0 ,0 
03254011, Diekholzen,158 ,2 ,13 ,56 ,39 ,10 ,0 ,1 ,1 ,1 ,81 ,0 ,8 ,39 ,32 ,1 ,0 ,0 ,0 ,0 ,76 ,2 ,5 ,17 ,7 ,9 ,0 ,1 ,1 ,1 
03254012, Eberholzen,21 ,0 ,4 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
03254013," Eime, Flecken",89 ,1 ,9 ,29 ,15 ,1 ,0 ,0 ,0 ,0 ,45 ,0 ,6 ,18 ,11 ,0 ,0 ,0 ,0 ,0 ,44 ,0 ,2 ,11 ,4 ,1 ,0 ,0 ,0 ,0 
03254014," Elze, Stadt",393 ,12 ,50 ,98 ,56 ,38 ,2 ,4 ,9 ,5 ,142 ,3 ,18 ,49 ,35 ,9 ,0 ,0 ,4 ,3 ,252 ,9 ,33 ,49 ,22 ,29 ,2 ,4 ,5 ,2 
03254015, Everode,20 ,1 ,3 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,11 ,1 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03254016, Freden (Leine),156 ,1 ,14 ,40 ,27 ,13 ,0 ,0 ,5 ,3 ,45 ,1 ,8 ,16 ,13 ,1 ,0 ,0 ,1 ,0 ,112 ,0 ,6 ,24 ,15 ,12 ,0 ,0 ,4 ,3 
03254017, Giesen,296 ,3 ,27 ,87 ,58 ,30 ,0 ,2 ,5 ,3 ,140 ,1 ,18 ,52 ,40 ,6 ,0 ,1 ,1 ,1 ,157 ,2 ,10 ,35 ,19 ,24 ,0 ,1 ,4 ,2 
03254018," Gronau (Leine), Stadt",274 ,6 ,29 ,75 ,43 ,18 ,1 ,1 ,4 ,3 ,86 ,2 ,16 ,26 ,15 ,3 ,1 ,1 ,0 ,0 ,188 ,4 ,13 ,49 ,28 ,15 ,0 ,1 ,4 ,3 
03254019, Harbarnsen,22 ,1 ,2 ,7 ,4 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03254020, Harsum,329 ,6 ,29 ,103 ,64 ,13 ,0 ,1 ,2 ,1 ,162 ,3 ,21 ,64 ,44 ,6 ,0 ,0 ,1 ,1 ,167 ,3 ,8 ,38 ,20 ,7 ,0 ,0 ,1 ,0 
03254021," Hildesheim, Stadt","5,800 ",118 ,559 ,"1,345 ",686 ,979 ,20 ,76 ,157 ,59 ,"1,324 ",20 ,178 ,463 ,321 ,112 ,3 ,16 ,29 ,20 ,"4,477 ",98 ,381 ,882 ,365 ,867 ,17 ,60 ,128 ,39 
03254022, Holle,226 ,3 ,18 ,75 ,43 ,9 ,0 ,0 ,1 ,1 ,104 ,1 ,13 ,39 ,24 ,4 ,0 ,0 ,1 ,1 ,122 ,1 ,5 ,35 ,19 ,6 ,0 ,0 ,0 ,0 
03254023," Lamspringe, Flecken",107 ,2 ,14 ,28 ,17 ,10 ,0 ,0 ,3 ,2 ,39 ,1 ,7 ,13 ,10 ,1 ,0 ,0 ,0 ,0 ,69 ,1 ,7 ,15 ,7 ,9 ,0 ,0 ,2 ,2 
03254024, Landwehr,15 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
03254025, Neuhof,11 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03254026, Nordstemmen,423 ,8 ,49 ,130 ,70 ,35 ,2 ,4 ,4 ,4 ,188 ,2 ,24 ,76 ,50 ,4 ,0 ,0 ,1 ,1 ,235 ,6 ,25 ,55 ,20 ,31 ,2 ,4 ,3 ,3 
03254027, Rheden,41 ,0 ,5 ,13 ,8 ,1 ,0 ,0 ,0 ,0 ,21 ,0 ,3 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,2 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
03254028," Sarstedt, Stadt",832 ,18 ,90 ,233 ,121 ,111 ,4 ,14 ,16 ,6 ,294 ,5 ,39 ,108 ,70 ,21 ,1 ,4 ,3 ,1 ,538 ,13 ,51 ,125 ,50 ,89 ,4 ,10 ,13 ,5 
03254029, Schellerten,218 ,3 ,19 ,65 ,42 ,17 ,1 ,2 ,3 ,2 ,97 ,1 ,12 ,41 ,30 ,4 ,0 ,0 ,1 ,0 ,121 ,2 ,7 ,24 ,12 ,13 ,1 ,2 ,3 ,1 
03254030, Sehlem,33 ,0 ,4 ,10 ,7 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,3 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
03254031, Sibbesse,89 ,2 ,9 ,30 ,21 ,4 ,0 ,1 ,2 ,1 ,45 ,1 ,5 ,24 ,19 ,2 ,0 ,0 ,2 ,1 ,44 ,1 ,4 ,6 ,2 ,3 ,0 ,1 ,0 ,0 
03254032, Söhlde,269 ,5 ,24 ,70 ,50 ,8 ,0 ,0 ,4 ,4 ,111 ,3 ,16 ,45 ,34 ,3 ,0 ,0 ,1 ,0 ,158 ,1 ,8 ,25 ,16 ,5 ,0 ,0 ,4 ,3 
03254033, Westfeld,23 ,0 ,4 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03254034, Winzenburg,15 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
03254035, Woltershausen,26 ,1 ,3 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,6 ,2 ,0 ,0 ,0 ,0 ,0 
03254036, Coppengrave,30 ,0 ,4 ,11 ,5 ,1 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 
03254037," Duingen, Flecken",100 ,1 ,10 ,30 ,17 ,5 ,0 ,0 ,2 ,0 ,39 ,0 ,5 ,18 ,13 ,1 ,0 ,0 ,0 ,0 ,61 ,0 ,4 ,12 ,4 ,4 ,0 ,0 ,2 ,0 
03254038, Hoyershausen,14 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03254039, Marienhagen,27 ,1 ,4 ,9 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,3 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,17 ,1 ,1 ,6 ,1 ,0 ,0 ,0 ,0 ,0 
03254040, Weenzen,15 ,0 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
03255, Holzminden,"3,306 ",61 ,358 ,980 ,554 ,269 ,3 ,19 ,53 ,27 ,"1,100 ",19 ,175 ,425 ,289 ,52 ,0 ,4 ,14 ,10 ,"2,206 ",42 ,183 ,555 ,265 ,217 ,3 ,15 ,39 ,17 
03255001, Arholzen,14 ,0 ,2 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
03255002," Bevern, Flecken",168 ,2 ,17 ,44 ,24 ,11 ,0 ,0 ,1 ,0 ,62 ,0 ,9 ,18 ,14 ,2 ,0 ,0 ,0 ,0 ,106 ,2 ,8 ,26 ,11 ,9 ,0 ,0 ,1 ,0 
03255003," Bodenwerder, Stadt",271 ,6 ,35 ,73 ,34 ,30 ,0 ,4 ,7 ,3 ,80 ,2 ,16 ,20 ,12 ,5 ,0 ,0 ,2 ,1 ,191 ,4 ,19 ,52 ,22 ,25 ,0 ,4 ,5 ,2 
03255004, Boffzen,95 ,3 ,12 ,25 ,15 ,10 ,0 ,1 ,2 ,1 ,34 ,1 ,7 ,12 ,8 ,2 ,0 ,0 ,0 ,0 ,61 ,2 ,5 ,12 ,6 ,8 ,0 ,0 ,2 ,1 
03255005, Brevörde,24 ,0 ,2 ,9 ,6 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,5 ,3 ,1 ,0 ,0 ,0 ,0 
03255007, Deensen,54 ,0 ,5 ,19 ,12 ,1 ,0 ,0 ,0 ,0 ,22 ,0 ,5 ,8 ,7 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,0 ,11 ,6 ,0 ,0 ,0 ,0 ,0 
03255008," Delligsen, Flecken",336 ,5 ,31 ,120 ,78 ,23 ,0 ,2 ,5 ,2 ,149 ,3 ,19 ,73 ,56 ,3 ,0 ,0 ,1 ,1 ,187 ,3 ,12 ,47 ,21 ,20 ,0 ,2 ,4 ,1 
03255009, Derental,25 ,0 ,3 ,8 ,7 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
03255010, Dielmissen,43 ,1 ,3 ,10 ,3 ,3 ,0 ,0 ,1 ,1 ,13 ,0 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,30 ,1 ,1 ,6 ,2 ,3 ,0 ,0 ,1 ,1 
03255012, Eimen,37 ,1 ,4 ,15 ,10 ,1 ,0 ,0 ,0 ,0 ,18 ,1 ,3 ,9 ,5 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,6 ,4 ,1 ,0 ,0 ,0 ,0 
03255013," Eschershausen, Stadt",161 ,2 ,14 ,57 ,28 ,6 ,0 ,0 ,1 ,0 ,55 ,1 ,8 ,24 ,15 ,1 ,0 ,0 ,1 ,0 ,107 ,2 ,6 ,33 ,14 ,5 ,0 ,0 ,0 ,0 
03255014, Fürstenberg,42 ,0 ,4 ,9 ,6 ,4 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,25 ,0 ,2 ,4 ,2 ,4 ,0 ,0 ,0 ,0 
03255015, Golmbach,22 ,0 ,4 ,11 ,7 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,4 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
03255016, Halle,59 ,1 ,6 ,18 ,11 ,1 ,0 ,0 ,0 ,0 ,24 ,1 ,5 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,35 ,0 ,1 ,10 ,6 ,0 ,0 ,0 ,0 ,0 
03255017, Hehlen,72 ,2 ,14 ,23 ,8 ,3 ,0 ,1 ,1 ,1 ,30 ,1 ,8 ,11 ,6 ,2 ,0 ,0 ,1 ,1 ,42 ,0 ,6 ,12 ,2 ,1 ,0 ,1 ,0 ,0 
03255018, Heinade,42 ,0 ,3 ,12 ,6 ,1 ,0 ,0 ,1 ,0 ,15 ,0 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,26 ,0 ,1 ,7 ,3 ,1 ,0 ,0 ,1 ,0 
03255019, Heinsen,32 ,0 ,2 ,11 ,8 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
03255020, Heyen,9 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
03255021, Holenberg,15 ,0 ,0 ,5 ,2 ,2 ,0 ,0 ,1 ,0 ,9 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,1 ,0 
03255022, Holzen,25 ,0 ,1 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
03255023," Holzminden, Stadt","1,092 ",22 ,122 ,283 ,154 ,123 ,2 ,7 ,25 ,14 ,280 ,4 ,40 ,99 ,62 ,27 ,0 ,2 ,7 ,4 ,813 ,18 ,82 ,184 ,91 ,97 ,2 ,5 ,18 ,10 
03255025, Kirchbrak,34 ,1 ,3 ,10 ,7 ,1 ,0 ,0 ,1 ,1 ,18 ,0 ,2 ,8 ,6 ,1 ,0 ,0 ,1 ,1 ,16 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
03255026," Lauenförde, Flecken",133 ,2 ,12 ,41 ,25 ,4 ,0 ,0 ,1 ,1 ,40 ,1 ,8 ,13 ,8 ,0 ,0 ,0 ,0 ,0 ,94 ,1 ,4 ,28 ,17 ,4 ,0 ,0 ,1 ,1 
03255027, Lenne,24 ,0 ,1 ,11 ,7 ,1 ,0 ,0 ,1 ,0 ,11 ,0 ,1 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,1 ,0 
03255028, Lüerdissen,19 ,0 ,1 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
03255030, Negenborn,29 ,0 ,2 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,6 ,1 ,0 ,0 ,0 ,0 ,0 
03255031," Ottenstein, Flecken",38 ,1 ,5 ,15 ,7 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,2 ,11 ,4 ,0 ,0 ,0 ,0 ,0 
03255032, Pegestorf,16 ,0 ,1 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
03255033," Polle, Flecken",41 ,2 ,6 ,12 ,7 ,3 ,0 ,0 ,1 ,1 ,15 ,0 ,3 ,7 ,5 ,1 ,0 ,0 ,1 ,1 ,26 ,1 ,3 ,5 ,2 ,2 ,0 ,0 ,0 ,0 
03255034," Stadtoldendorf, Stadt",303 ,7 ,34 ,92 ,56 ,32 ,0 ,2 ,5 ,2 ,78 ,2 ,15 ,35 ,24 ,3 ,0 ,1 ,0 ,0 ,224 ,5 ,19 ,57 ,32 ,30 ,0 ,1 ,4 ,2 
03255035, Vahlbruch,11 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
03255036, Wangelnstedt,21 ,0 ,4 ,7 ,3 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
03256, Nienburg (Weser),"4,063 ",92 ,494 ,"1,140 ",679 ,379 ,8 ,33 ,79 ,35 ,"1,639 ",43 ,291 ,578 ,397 ,74 ,2 ,12 ,16 ,9 ,"2,424 ",49 ,203 ,561 ,282 ,305 ,7 ,21 ,62 ,26 
03256001, Balge,40 ,1 ,4 ,11 ,7 ,0 ,0 ,0 ,0 ,0 ,23 ,1 ,3 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
03256002, Binnen,17 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
03256003," Bücken, Flecken",51 ,1 ,7 ,14 ,11 ,3 ,0 ,0 ,0 ,0 ,26 ,0 ,5 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,25 ,1 ,2 ,5 ,3 ,3 ,0 ,0 ,0 ,0 
03256004," Diepenau, Flecken",115 ,2 ,13 ,42 ,30 ,7 ,0 ,0 ,2 ,1 ,74 ,1 ,11 ,30 ,22 ,2 ,0 ,0 ,0 ,0 ,41 ,0 ,2 ,13 ,8 ,5 ,0 ,0 ,1 ,1 
03256005," Drakenburg, Flecken",61 ,2 ,11 ,18 ,10 ,2 ,0 ,0 ,0 ,0 ,28 ,2 ,9 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,32 ,0 ,2 ,8 ,2 ,2 ,0 ,0 ,0 ,0 
