,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
12067036," Beeskow, Stadt",436 ,3 ,42 ,168 ,104 ,11 ,0 ,0 ,2 ,1 ,137 ,1 ,14 ,67 ,51 ,3 ,0 ,0 ,1 ,1 ,300 ,2 ,28 ,101 ,53 ,8 ,0 ,0 ,1 ,0 
12067040, Berkenbrück,29 ,0 ,2 ,14 ,9 ,1 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,8 ,5 ,1 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,7 ,4 ,0 ,0 ,0 ,0 ,0 
12067072, Briesen (Mark),113 ,0 ,10 ,41 ,27 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,4 ,14 ,12 ,1 ,0 ,0 ,0 ,0 ,81 ,0 ,7 ,27 ,16 ,0 ,0 ,0 ,0 ,0 
12067076, Brieskow-Finkenheerd,129 ,1 ,5 ,66 ,47 ,1 ,0 ,0 ,1 ,1 ,59 ,1 ,3 ,36 ,29 ,0 ,0 ,0 ,0 ,0 ,71 ,0 ,2 ,30 ,19 ,1 ,0 ,0 ,1 ,1 
12067112, Diensdorf-Radlow,25 ,0 ,1 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,7 ,4 ,0 ,0 ,0 ,0 ,0 
12067120," Eisenhüttenstadt, Stadt","1,897 ",31 ,180 ,736 ,426 ,68 ,1 ,3 ,20 ,9 ,468 ,4 ,52 ,232 ,164 ,16 ,0 ,1 ,4 ,3 ,"1,429 ",27 ,129 ,504 ,262 ,52 ,1 ,2 ,16 ,6 
12067124," Erkner, Stadt",409 ,3 ,44 ,133 ,90 ,16 ,0 ,0 ,3 ,2 ,161 ,1 ,17 ,63 ,46 ,5 ,0 ,0 ,1 ,0 ,248 ,3 ,26 ,71 ,44 ,12 ,0 ,0 ,1 ,1 
12067137," Friedland, Stadt",132 ,1 ,10 ,62 ,40 ,1 ,0 ,0 ,0 ,0 ,68 ,1 ,8 ,36 ,27 ,0 ,0 ,0 ,0 ,0 ,64 ,1 ,2 ,26 ,13 ,1 ,0 ,0 ,0 ,0 
12067144," Fürstenwalde/Spree, Stadt","2,381 ",29 ,203 ,756 ,451 ,166 ,4 ,11 ,31 ,14 ,491 ,5 ,64 ,194 ,141 ,18 ,0 ,2 ,4 ,3 ,"1,890 ",24 ,139 ,562 ,310 ,148 ,4 ,9 ,27 ,11 
12067173, Gosen-Neu Zittau,91 ,0 ,6 ,38 ,28 ,3 ,0 ,1 ,0 ,0 ,53 ,0 ,4 ,28 ,22 ,3 ,0 ,1 ,0 ,0 ,38 ,0 ,1 ,10 ,6 ,0 ,0 ,0 ,0 ,0 
12067180, Groß Lindow,51 ,1 ,3 ,26 ,18 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,2 ,19 ,15 ,0 ,0 ,0 ,0 ,0 ,16 ,1 ,1 ,7 ,3 ,0 ,0 ,0 ,0 ,0 
12067201, Grünheide (Mark),258 ,2 ,18 ,104 ,69 ,4 ,0 ,0 ,0 ,0 ,127 ,2 ,13 ,55 ,40 ,2 ,0 ,0 ,0 ,0 ,131 ,1 ,5 ,49 ,29 ,3 ,0 ,0 ,0 ,0 
12067205, Grunow-Dammendorf,27 ,0 ,2 ,12 ,7 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,7 ,5 ,0 ,0 ,0 ,0 ,0 
12067237, Jacobsdorf,54 ,0 ,5 ,21 ,12 ,2 ,0 ,0 ,0 ,0 ,31 ,0 ,4 ,14 ,8 ,1 ,0 ,0 ,0 ,0 ,23 ,0 ,2 ,8 ,3 ,1 ,0 ,0 ,0 ,0 
12067288, Langewahl,31 ,1 ,2 ,13 ,9 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,6 ,5 ,1 ,0 ,0 ,0 ,0 
12067292, Lawitz,20 ,0 ,1 ,14 ,8 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,10 ,6 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
12067310, Madlitz-Wilmersdorf,41 ,0 ,3 ,20 ,13 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,26 ,0 ,1 ,12 ,8 ,0 ,0 ,0 ,0 ,0 
12067324, Mixdorf,29 ,0 ,2 ,20 ,15 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,2 ,18 ,13 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
12067336," Müllrose, Stadt",162 ,2 ,14 ,80 ,50 ,4 ,0 ,1 ,0 ,0 ,90 ,1 ,11 ,44 ,27 ,2 ,0 ,1 ,0 ,0 ,71 ,1 ,4 ,35 ,23 ,2 ,0 ,0 ,0 ,0 
12067338, Neißemünde,55 ,0 ,4 ,29 ,20 ,0 ,0 ,0 ,0 ,0 ,38 ,0 ,4 ,21 ,16 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,8 ,5 ,0 ,0 ,0 ,0 ,0 
12067357, Neuzelle,146 ,1 ,8 ,69 ,46 ,2 ,0 ,0 ,0 ,0 ,83 ,0 ,6 ,43 ,33 ,0 ,0 ,0 ,0 ,0 ,62 ,1 ,2 ,26 ,13 ,1 ,0 ,0 ,0 ,0 
12067397, Ragow-Merz,17 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
12067408, Rauen,59 ,0 ,6 ,30 ,23 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,3 ,21 ,17 ,1 ,0 ,0 ,0 ,0 ,26 ,0 ,3 ,10 ,5 ,0 ,0 ,0 ,0 ,0 
12067413, Reichenwalde,23 ,0 ,2 ,9 ,7 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
12067426, Rietz-Neuendorf,194 ,2 ,13 ,96 ,64 ,2 ,0 ,0 ,0 ,0 ,97 ,1 ,7 ,52 ,39 ,0 ,0 ,0 ,0 ,0 ,98 ,2 ,5 ,44 ,25 ,2 ,0 ,0 ,0 ,0 
12067438, Schlaubetal,53 ,0 ,5 ,27 ,18 ,0 ,0 ,0 ,0 ,0 ,36 ,0 ,3 ,20 ,14 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0 ,0 
12067440, Schöneiche bei Berlin,324 ,4 ,22 ,136 ,93 ,22 ,0 ,2 ,9 ,5 ,162 ,1 ,13 ,81 ,61 ,3 ,0 ,0 ,1 ,1 ,162 ,3 ,9 ,55 ,32 ,18 ,0 ,2 ,8 ,4 
12067458, Siehdichum,55 ,2 ,4 ,30 ,22 ,4 ,1 ,1 ,0 ,0 ,37 ,1 ,4 ,24 ,20 ,2 ,0 ,0 ,0 ,0 ,18 ,1 ,1 ,6 ,2 ,2 ,0 ,0 ,0 ,0 
12067469, Spreenhagen,170 ,1 ,10 ,81 ,48 ,3 ,0 ,0 ,1 ,0 ,65 ,1 ,7 ,31 ,23 ,1 ,0 ,0 ,0 ,0 ,104 ,0 ,2 ,50 ,26 ,2 ,0 ,0 ,1 ,0 
12067473, Steinhöfel,234 ,2 ,20 ,99 ,62 ,2 ,0 ,0 ,1 ,1 ,88 ,0 ,8 ,36 ,24 ,1 ,0 ,0 ,1 ,1 ,146 ,2 ,12 ,63 ,39 ,1 ,0 ,0 ,0 ,0 
12067481," Storkow (Mark), Stadt",365 ,5 ,33 ,141 ,100 ,4 ,0 ,0 ,2 ,0 ,161 ,1 ,19 ,67 ,52 ,2 ,0 ,0 ,0 ,0 ,204 ,4 ,13 ,74 ,49 ,2 ,0 ,0 ,1 ,0 
12067493, Tauche,160 ,1 ,14 ,66 ,35 ,2 ,0 ,0 ,0 ,0 ,86 ,0 ,8 ,41 ,26 ,1 ,0 ,0 ,0 ,0 ,74 ,1 ,6 ,26 ,9 ,1 ,0 ,0 ,0 ,0 
12067508, Vogelsang,37 ,0 ,3 ,19 ,14 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,2 ,13 ,11 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,6 ,2 ,0 ,0 ,0 ,0 ,0 
12067520, Wendisch Rietz,59 ,0 ,5 ,30 ,23 ,1 ,0 ,0 ,0 ,0 ,34 ,0 ,4 ,18 ,13 ,1 ,0 ,0 ,0 ,0 ,26 ,0 ,1 ,13 ,10 ,1 ,0 ,0 ,0 ,0 
12067528, Wiesenau,42 ,1 ,3 ,22 ,10 ,0 ,0 ,0 ,0 ,0 ,24 ,1 ,3 ,11 ,7 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,10 ,3 ,0 ,0 ,0 ,0 ,0 
12067544, Woltersdorf,194 ,2 ,12 ,91 ,62 ,2 ,0 ,0 ,1 ,1 ,114 ,1 ,8 ,59 ,43 ,2 ,0 ,0 ,1 ,1 ,80 ,1 ,4 ,32 ,19 ,0 ,0 ,0 ,0 ,0 
12067552, Ziltendorf,55 ,0 ,3 ,27 ,18 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,2 ,14 ,10 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,1 ,13 ,8 ,0 ,0 ,0 ,0 ,0 
12068, Ostprignitz-Ruppin,"5,629 ",57 ,456 ,"1,931 ","1,122 ",109 ,1 ,7 ,17 ,9 ,"1,888 ",15 ,196 ,910 ,653 ,17 ,0 ,2 ,3 ,1 ,"3,741 ",42 ,260 ,"1,022 ",469 ,92 ,1 ,5 ,14 ,7 
12068052, Breddin,64 ,0 ,3 ,21 ,11 ,1 ,0 ,0 ,0 ,0 ,24 ,0 ,2 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,40 ,0 ,1 ,9 ,3 ,0 ,0 ,0 ,0 ,0 
12068072, Dabergotz,18 ,0 ,1 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
12068109, Dreetz,45 ,0 ,3 ,19 ,13 ,0 ,0 ,0 ,0 ,0 ,22 ,0 ,1 ,14 ,10 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
12068117, Fehrbellin,397 ,5 ,34 ,151 ,85 ,5 ,0 ,0 ,2 ,2 ,173 ,1 ,17 ,85 ,55 ,2 ,0 ,0 ,1 ,1 ,224 ,4 ,17 ,66 ,30 ,3 ,0 ,0 ,1 ,1 
12068181, Heiligengrabe,212 ,2 ,12 ,92 ,49 ,1 ,0 ,0 ,0 ,0 ,109 ,1 ,10 ,56 ,36 ,0 ,0 ,0 ,0 ,0 ,104 ,1 ,2 ,37 ,13 ,1 ,0 ,0 ,0 ,0 
12068188, Herzberg (Mark),33 ,0 ,2 ,13 ,9 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,6 ,4 ,0 ,0 ,0 ,0 ,0 
12068264," Kyritz, Stadt",645 ,10 ,60 ,201 ,117 ,9 ,0 ,0 ,0 ,0 ,173 ,2 ,16 ,90 ,74 ,1 ,0 ,0 ,0 ,0 ,472 ,8 ,44 ,110 ,43 ,8 ,0 ,0 ,0 ,0 
12068280," Lindow (Mark), Stadt",159 ,2 ,12 ,59 ,35 ,0 ,0 ,0 ,0 ,0 ,57 ,1 ,4 ,29 ,21 ,0 ,0 ,0 ,0 ,0 ,102 ,2 ,8 ,30 ,14 ,0 ,0 ,0 ,0 ,0 
12068306, Märkisch Linden,47 ,0 ,4 ,20 ,13 ,1 ,0 ,0 ,1 ,1 ,23 ,0 ,2 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,1 ,8 ,3 ,1 ,0 ,0 ,1 ,1 
12068320," Neuruppin, Stadt","1,613 ",17 ,146 ,465 ,263 ,64 ,1 ,5 ,7 ,3 ,484 ,5 ,63 ,207 ,152 ,8 ,0 ,1 ,0 ,0 ,"1,129 ",12 ,82 ,258 ,110 ,56 ,1 ,4 ,7 ,3 
12068324," Neustadt (Dosse), Stadt",224 ,6 ,26 ,58 ,33 ,6 ,0 ,0 ,0 ,0 ,58 ,0 ,7 ,19 ,13 ,0 ,0 ,0 ,0 ,0 ,167 ,6 ,20 ,39 ,20 ,6 ,0 ,0 ,0 ,0 
12068353," Rheinsberg, Stadt",434 ,3 ,29 ,165 ,95 ,2 ,0 ,0 ,1 ,0 ,168 ,1 ,15 ,81 ,57 ,1 ,0 ,0 ,1 ,0 ,266 ,2 ,14 ,85 ,38 ,1 ,0 ,0 ,0 ,0 
12068372, Rüthnick,19 ,0 ,1 ,10 ,7 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
12068409, Sieversdorf-Hohenofen,49 ,0 ,3 ,22 ,10 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,2 ,11 ,5 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,1 ,11 ,5 ,0 ,0 ,0 ,0 ,0 
12068413, Storbeck-Frankendorf,25 ,0 ,1 ,12 ,10 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,8 ,7 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
12068417, Stüdenitz-Schönermark,29 ,0 ,2 ,12 ,8 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,6 ,4 ,1 ,0 ,0 ,0 ,0 
12068425, Temnitzquell,32 ,0 ,1 ,14 ,11 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,10 ,8 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
12068426, Temnitztal,81 ,0 ,5 ,32 ,25 ,1 ,0 ,0 ,0 ,0 ,34 ,0 ,2 ,20 ,17 ,1 ,0 ,0 ,0 ,0 ,46 ,0 ,3 ,12 ,8 ,0 ,0 ,0 ,0 ,0 
12068437, Vielitzsee,24 ,0 ,0 ,10 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,6 ,1 ,0 ,0 ,0 ,0 ,0 
12068452, Walsleben,44 ,1 ,5 ,16 ,6 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,2 ,8 ,2 ,0 ,0 ,0 ,0 ,0 
12068468," Wittstock/Dosse, Stadt",972 ,7 ,74 ,343 ,203 ,11 ,0 ,0 ,3 ,2 ,303 ,2 ,34 ,147 ,105 ,3 ,0 ,0 ,1 ,0 ,669 ,6 ,40 ,196 ,98 ,8 ,0 ,0 ,2 ,2 
12068477, Wusterhausen/Dosse,420 ,2 ,29 ,165 ,94 ,6 ,0 ,0 ,1 ,0 ,124 ,0 ,10 ,67 ,48 ,0 ,0 ,0 ,0 ,0 ,296 ,2 ,19 ,98 ,47 ,6 ,0 ,0 ,1 ,0 
12068501, Zernitz-Lohm,43 ,0 ,3 ,24 ,16 ,1 ,0 ,0 ,1 ,1 ,15 ,0 ,3 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,18 ,13 ,1 ,0 ,0 ,1 ,1 
12069, Potsdam-Mittelmark,"7,592 ",98 ,611 ,"3,099 ","1,973 ",242 ,3 ,24 ,51 ,30 ,"2,824 ",27 ,274 ,"1,320 ",923 ,66 ,0 ,5 ,13 ,6 ,"4,768 ",71 ,337 ,"1,779 ","1,050 ",176 ,3 ,20 ,38 ,23 
12069017," Beelitz, Stadt",433 ,7 ,46 ,162 ,102 ,11 ,0 ,2 ,5 ,2 ,162 ,1 ,20 ,76 ,50 ,2 ,0 ,0 ,1 ,0 ,271 ,6 ,25 ,86 ,51 ,10 ,0 ,2 ,3 ,2 
12069018, Beetzsee,98 ,1 ,7 ,50 ,27 ,4 ,0 ,0 ,2 ,1 ,36 ,0 ,3 ,21 ,18 ,0 ,0 ,0 ,0 ,0 ,62 ,1 ,4 ,29 ,10 ,4 ,0 ,0 ,2 ,1 
12069019, Beetzseeheide,42 ,0 ,1 ,20 ,14 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,1 ,16 ,11 ,0 ,0 ,0 ,0 ,0 
12069020," Bad Belzig, Stadt",688 ,9 ,53 ,263 ,160 ,37 ,2 ,7 ,7 ,4 ,161 ,2 ,17 ,75 ,49 ,2 ,0 ,0 ,1 ,0 ,528 ,7 ,36 ,188 ,111 ,35 ,2 ,7 ,6 ,4 
12069028, Bensdorf,80 ,0 ,6 ,38 ,26 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,4 ,18 ,14 ,0 ,0 ,0 ,0 ,0 ,48 ,0 ,2 ,20 ,12 ,0 ,0 ,0 ,0 ,0 
12069052, Borkheide,56 ,0 ,1 ,31 ,23 ,1 ,0 ,0 ,0 ,0 ,32 ,0 ,0 ,20 ,16 ,1 ,0 ,0 ,0 ,0 ,24 ,0 ,0 ,11 ,7 ,0 ,0 ,0 ,0 ,0 
12069056, Borkwalde,58 ,1 ,4 ,23 ,12 ,1 ,0 ,0 ,1 ,0 ,24 ,0 ,2 ,9 ,7 ,0 ,0 ,0 ,0 ,0 ,34 ,1 ,1 ,14 ,6 ,1 ,0 ,0 ,1 ,0 
12069076," Brück, Stadt",163 ,2 ,11 ,59 ,30 ,2 ,0 ,0 ,0 ,0 ,47 ,1 ,4 ,18 ,11 ,0 ,0 ,0 ,0 ,0 ,116 ,1 ,7 ,40 ,18 ,1 ,0 ,0 ,0 ,0 
12069089, Buckautal,30 ,0 ,2 ,14 ,10 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,22 ,0 ,1 ,11 ,9 ,0 ,0 ,0 ,0 ,0 
12069216, Golzow,58 ,0 ,3 ,34 ,27 ,1 ,0 ,0 ,0 ,0 ,29 ,0 ,2 ,19 ,15 ,0 ,0 ,0 ,0 ,0 ,29 ,0 ,1 ,14 ,12 ,1 ,0 ,0 ,0 ,0 
12069224, Görzke,86 ,1 ,6 ,41 ,24 ,0 ,0 ,0 ,0 ,0 ,23 ,1 ,2 ,14 ,10 ,0 ,0 ,0 ,0 ,0 ,63 ,0 ,4 ,27 ,14 ,0 ,0 ,0 ,0 ,0 
12069232, Gräben,23 ,0 ,1 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 
12069249, Groß Kreutz (Havel),357 ,3 ,29 ,171 ,106 ,4 ,0 ,0 ,1 ,1 ,151 ,1 ,14 ,86 ,58 ,2 ,0 ,0 ,1 ,1 ,206 ,2 ,15 ,85 ,47 ,2 ,0 ,0 ,0 ,0 
12069270," Havelsee, Stadt",143 ,1 ,7 ,61 ,37 ,1 ,0 ,0 ,1 ,0 ,56 ,0 ,3 ,26 ,15 ,0 ,0 ,0 ,0 ,0 ,88 ,1 ,3 ,35 ,22 ,1 ,0 ,0 ,1 ,0 
12069304, Kleinmachnow,260 ,2 ,18 ,98 ,60 ,12 ,0 ,0 ,1 ,1 ,165 ,1 ,12 ,65 ,42 ,9 ,0 ,0 ,1 ,1 ,95 ,1 ,6 ,33 ,18 ,3 ,0 ,0 ,0 ,0 
12069306, Kloster Lehnin,558 ,6 ,50 ,250 ,171 ,12 ,0 ,0 ,1 ,0 ,198 ,1 ,21 ,103 ,76 ,2 ,0 ,0 ,0 ,0 ,360 ,4 ,29 ,147 ,95 ,10 ,0 ,0 ,1 ,0 
12069345, Linthe,35 ,0 ,2 ,15 ,11 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,1 ,10 ,5 ,0 ,0 ,0 ,0 ,0 
12069397, Michendorf,294 ,3 ,21 ,119 ,84 ,7 ,0 ,0 ,1 ,1 ,149 ,2 ,13 ,65 ,46 ,3 ,0 ,0 ,1 ,1 ,145 ,1 ,8 ,54 ,38 ,4 ,0 ,0 ,0 ,0 
12069402, Mühlenfließ,33 ,0 ,2 ,23 ,20 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,0 ,15 ,14 ,0 ,0 ,0 ,0 ,0 
12069448," Niemegk, Stadt",101 ,1 ,7 ,43 ,33 ,3 ,0 ,0 ,0 ,0 ,33 ,0 ,4 ,19 ,15 ,1 ,0 ,0 ,0 ,0 ,68 ,0 ,3 ,25 ,18 ,2 ,0 ,0 ,0 ,0 
12069454, Nuthetal,166 ,1 ,15 ,62 ,42 ,2 ,0 ,0 ,1 ,1 ,97 ,0 ,10 ,39 ,29 ,2 ,0 ,0 ,1 ,1 ,70 ,0 ,5 ,23 ,13 ,0 ,0 ,0 ,0 ,0 
12069460, Päwesin,46 ,0 ,4 ,22 ,12 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,2 ,16 ,6 ,0 ,0 ,0 ,0 ,0 
12069470, Planebruch,49 ,0 ,4 ,22 ,11 ,1 ,0 ,0 ,1 ,1 ,28 ,0 ,2 ,11 ,6 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,11 ,6 ,1 ,0 ,0 ,1 ,1 
12069474, Planetal,28 ,0 ,3 ,18 ,12 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,10 ,7 ,0 ,0 ,0 ,0 ,0 
12069485, Rabenstein/Fläming,40 ,0 ,2 ,25 ,18 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,13 ,12 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,12 ,6 ,0 ,0 ,0 ,0 ,0 
12069537, Rosenau,49 ,0 ,3 ,17 ,14 ,1 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,9 ,8 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,3 ,8 ,6 ,1 ,0 ,0 ,0 ,0 
12069541, Roskow,82 ,1 ,6 ,34 ,25 ,1 ,0 ,0 ,0 ,0 ,28 ,0 ,3 ,14 ,11 ,1 ,0 ,0 ,0 ,0 ,55 ,1 ,3 ,20 ,14 ,0 ,0 ,0 ,0 ,0 
12069590, Schwielowsee,286 ,6 ,20 ,114 ,76 ,7 ,0 ,0 ,0 ,0 ,132 ,1 ,9 ,58 ,41 ,3 ,0 ,0 ,0 ,0 ,154 ,5 ,11 ,56 ,34 ,4 ,0 ,0 ,0 ,0 
12069596, Seddiner See,187 ,5 ,24 ,63 ,39 ,8 ,0 ,0 ,3 ,3 ,55 ,2 ,10 ,20 ,14 ,0 ,0 ,0 ,0 ,0 ,132 ,4 ,15 ,43 ,25 ,7 ,0 ,0 ,3 ,3 
12069604, Stahnsdorf,351 ,5 ,37 ,121 ,70 ,7 ,0 ,2 ,2 ,1 ,167 ,1 ,18 ,62 ,35 ,1 ,0 ,0 ,0 ,0 ,184 ,4 ,20 ,60 ,35 ,5 ,0 ,2 ,2 ,0 
12069616," Teltow, Stadt",675 ,12 ,64 ,215 ,133 ,68 ,0 ,9 ,11 ,7 ,262 ,4 ,27 ,98 ,63 ,20 ,0 ,2 ,4 ,2 ,413 ,8 ,38 ,117 ,70 ,48 ,0 ,6 ,7 ,6 
12069632," Treuenbrietzen, Stadt",416 ,6 ,32 ,185 ,119 ,6 ,1 ,1 ,2 ,1 ,123 ,0 ,10 ,68 ,52 ,1 ,0 ,0 ,0 ,0 ,293 ,5 ,22 ,117 ,67 ,5 ,1 ,1 ,2 ,1 
12069648, Wenzlow,32 ,0 ,1 ,17 ,11 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,0 ,14 ,8 ,1 ,0 ,0 ,0 ,0 
12069656," Werder (Havel), Stadt",933 ,14 ,77 ,358 ,218 ,29 ,0 ,2 ,8 ,4 ,306 ,4 ,30 ,136 ,92 ,10 ,0 ,1 ,2 ,0 ,627 ,11 ,47 ,221 ,126 ,20 ,0 ,1 ,6 ,4 
12069665, Wiesenburg/Mark,279 ,2 ,15 ,123 ,87 ,4 ,0 ,0 ,1 ,1 ,93 ,1 ,8 ,50 ,38 ,1 ,0 ,0 ,0 ,0 ,186 ,1 ,7 ,73 ,50 ,3 ,0 ,0 ,1 ,1 
12069680, Wollin,37 ,2 ,3 ,16 ,9 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,23 ,1 ,1 ,11 ,6 ,0 ,0 ,0 ,0 ,0 
12069688, Wusterwitz,146 ,2 ,7 ,65 ,41 ,2 ,0 ,0 ,1 ,1 ,50 ,0 ,5 ,26 ,22 ,1 ,0 ,0 ,0 ,0 ,96 ,1 ,3 ,40 ,19 ,2 ,0 ,0 ,1 ,1 
