,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051035, Gaushorn,7 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051036, Glüsing,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051037, Großenrade,13 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051039, Gudendorf,7 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051043, Hedwigenkoog,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051044," Heide, Stadt","1,155 ",43 ,172 ,277 ,158 ,123 ,3 ,8 ,23 ,14 ,250 ,5 ,38 ,88 ,62 ,16 ,0 ,1 ,4 ,4 ,905 ,38 ,134 ,189 ,96 ,108 ,3 ,6 ,19 ,10 
01051045, Hellschen-Heringsand-Untersch.,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051046, Helse,22 ,0 ,3 ,9 ,5 ,2 ,0 ,0 ,1 ,1 ,9 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,4 ,2 ,2 ,0 ,0 ,1 ,1 
01051047, Hemme,23 ,0 ,2 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051048, Hemmingstedt,97 ,2 ,12 ,29 ,18 ,4 ,0 ,0 ,1 ,0 ,34 ,1 ,6 ,13 ,9 ,0 ,0 ,0 ,0 ,0 ,63 ,1 ,6 ,16 ,9 ,4 ,0 ,0 ,1 ,0 
