,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051051, Hochdonn,42 ,4 ,7 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,18 ,1 ,4 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,24 ,2 ,4 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
01051052, Hövede,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051053, Hollingstedt,17 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051054, Immenstedt,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051057, Kaiser-Wilhelm-Koog,13 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
01051058, Karolinenkoog,6 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051060, Kleve,13 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
01051061, Krempel,32 ,1 ,4 ,7 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,25 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
01051062, Kronprinzenkoog,32 ,0 ,2 ,14 ,6 ,2 ,0 ,0 ,2 ,0 ,17 ,0 ,2 ,10 ,5 ,2 ,0 ,0 ,2 ,0 ,15 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051063, Krumstedt,15 ,0 ,1 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
